key,cz,en,chPersepolis_family_1,阿胡拉扎德,Ahurazad,阿胡拉扎德
Persepolis_family_2,马兹达班,Mazdaban,馬茲達班
Persepolis_family_275,苏美尔伽尔,SumerGal,蘇美爾伽爾
Persepolis_family_276,阿卡德杜尔,AkkadDur,阿卡德杜爾
Persepolis_family_277,巴比伦尼亚乌鲁,BabyloniaUru,巴比倫尼亞烏魯
Persepolis_family_278,亚述伽尔,AssyriaGal,亞述伽爾
Persepolis_family_279,恩利尔沙加尔,EnlilShaggal,恩利爾沙加爾
Persepolis_family_280,恩基玛尔,EnkiMar,恩基瑪爾
Persepolis_family_281,伊南娜伽尔,InannaGal,伊南娜伽爾
Persepolis_family_282,马尔杜克杜尔,MardukDur,馬爾杜克杜爾
Persepolis_family_283,纳布沙加尔,NabuShaggal,納布沙加爾
Persepolis_family_284,沙马什伽尔,ShamashGal,沙馬什伽爾
Persepolis_family_285,阿胡拉班,Ahuraban,阿胡拉班
Persepolis_family_286,马兹达扬,Mazdayan,馬茲達揚
Persepolis_family_287,密特拉德,Mithrad,密特拉德
Persepolis_family_288,阿娜希塔万德,Anahitavand,阿娜希塔萬德
Persepolis_family_289,万赫拉姆班,Vahramban,萬赫拉姆班
Persepolis_family_290,斯彭塔扬,Spentayan,斯彭塔揚
Persepolis_family_291,阿沙德,Ashad,阿沙德
Persepolis_family_292,沃胡万德,Vohuvand,沃胡萬德
Persepolis_family_293,阿姆沙班,Ameshban,阿姆沙班
Persepolis_family_294,提什特里德,Tishtrid,提什特里德
Persepolis_family_295,泽尔万扬,Zervanyan,澤爾萬揚
Persepolis_family_296,阿尔德维德,Ardvid,阿爾德維德
Persepolis_family_297,达拉扬,Darayan,達拉揚
Persepolis_family_298,库鲁什德,Kurushd,庫魯什德
Persepolis_family_299,克谢尔克班,Xerxesban,克謝爾克班
Persepolis_family_300,阿契美尼德,Achaemenid,阿契美尼德
Persepolis_family_301,帕思班,Parthban,帕思班
Persepolis_family_302,巴克特扬,Bactrayan,巴克特揚
Persepolis_family_303,粟特德,Sogdd,粟特德
Persepolis_family_304,埃兰万德,Elamvand,埃蘭萬德
Persepolis_family_305,马达扬,Madayan,馬達揚
Persepolis_family_306,扎格罗斯德,Zagrosd,扎格羅斯德
Persepolis_family_307,达什特班,Dashtban,達什特班
Persepolis_family_308,库赫扬,Kuhyan,庫赫揚
Persepolis_family_309,鲁德德,Rudd,魯德德
Persepolis_family_310,阿班万德,Abanvand,阿班萬德
Persepolis_family_311,阿努什扬,Anushyan,阿努什揚
Persepolis_family_312,阿尔达希尔德,Ardashird,阿爾達希爾德
Persepolis_family_313,戈什塔斯万德,Goshtasvand,戈什塔斯萬德
Persepolis_family_314,维什塔帕扬,Vishtapayan,維什塔帕揚
Persepolis_family_315,菲鲁兹德,Firuzd,菲魯茲德
Persepolis_family_316,迪兹万德,Dezvand,迪茲萬德
Persepolis_family_317,沙赫尔扬,Shahryan,沙赫爾揚
Persepolis_family_318,卡伦德,Karund,卡倫德
Persepolis_family_319,舒什班,Shushban,舒什班
Persepolis_family_320,亚兹德扬,Yazdyan,亞茲德揚
